sampleID	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	k__Bacteria;__;__;__;__	k__Bacteria;p__;c__;o__;f__	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	k__Bacteria;p__Firmicutes;__;__;__	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
B11	0	0	0	24	0	9	150	3023	471	233	166	495	85	51	149	0	0	0	0	234	36	0	1076	0	57	1041	0	1945	257	12	0	211	15	288	0	485	0	15	325	0	153	0	0	0	0	0
B12	0	0	0	41	73	0	40	1584	276	160	118	526	0	0	0	0	0	0	0	829	0	0	93	0	12	2472	0	502	50	0	0	4100	0	0	0	683	0	0	0	0	160	0	0	0	0	0
B13	0	0	0	139	163	0	37	1259	195	129	162	599	32	28	0	0	0	0	0	716	0	0	100	0	0	2813	0	701	71	0	0	3459	0	0	0	817	0	0	0	0	192	0	0	0	0	0
B14	0	0	0	164	125	0	32	695	140	132	79	466	38	24	0	0	0	0	0	454	0	0	70	0	16	3447	0	691	24	0	0	4477	0	0	0	906	0	0	15	0	114	0	0	0	0	0
B15	0	0	0	3217	180	0	0	104	0	177	46	183	35	0	0	0	0	0	0	372	0	0	0	0	38	7737	0	160	0	0	0	1455	0	0	0	358	0	0	10	0	122	0	0	0	0	0
B16	71	0	0	3570	173	0	15	227	50	0	84	243	64	0	0	0	0	0	0	358	0	0	46	0	32	5230	0	231	43	0	0	1979	0	0	0	727	0	0	19	0	208	0	0	0	0	0
B17	107	0	0	2072	0	0	15	252	16	0	106	214	47	0	0	0	0	0	0	522	0	4	32	0	25	4557	0	240	0	0	0	2330	0	0	0	890	0	0	0	0	119	0	0	0	0	0
B18	9	0	0	15019	85	0	0	96	0	0	0	0	24	0	0	0	0	0	62	773	0	0	12	0	461	1018	0	16	64	0	0	587	0	0	0	945	0	0	0	0	0	0	0	0	0	0
B19	0	0	0	9573	0	0	0	55	0	0	0	0	0	0	0	0	0	0	43	369	0	0	0	0	4951	446	0	0	549	0	0	199	0	0	0	850	0	0	0	0	0	0	0	0	0	0
B110	0	0	0	6267	26	0	0	76	0	0	0	0	0	0	0	0	0	0	32	554	0	0	0	0	5524	467	0	45	891	0	0	165	0	0	0	710	0	0	0	0	34	0	13	0	0	0
B111	0	0	0	6136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1097	0	0	0	0	5996	442	0	29	968	0	207	232	0	0	0	557	0	0	6	0	0	0	0	0	0	0
BM1	0	0	0	0	0	0	39	3128	508	74	1922	1046	605	416	0	0	0	0	0	0	0	0	2055	0	58	852	0	1702	248	34	0	40	0	252	0	209	0	19	459	0	233	0	0	0	0	938
BM2	0	0	0	0	237	0	51	4440	640	18	622	92	207	68	0	0	0	0	35	0	0	0	607	0	69	5157	0	944	88	0	0	4833	0	116	0	772	0	0	109	0	23	0	0	0	0	0
BM3	10	0	0	0	145	0	56	2769	375	0	722	24	310	107	0	0	0	0	0	0	0	0	505	0	46	3557	0	459	84	0	0	9344	0	96	0	610	0	0	156	0	17	0	0	0	0	0
BM4	140	0	0	4620	183	0	42	1605	54	0	462	92	241	160	0	0	0	0	0	377	0	61	542	0	54	2849	0	350	203	0	0	7255	0	41	0	1187	0	0	205	0	29	0	0	7	0	94
BM5	0	0	0	6459	214	0	77	1352	21	0	493	142	180	37	0	0	0	0	0	646	0	37	677	0	86	2141	0	477	310	0	0	3391	0	20	0	1999	0	0	116	0	0	0	0	0	0	83
BM6	0	0	0	12255	44	0	31	207	0	0	0	0	23	0	0	0	0	0	0	1022	23	0	223	0	1955	1260	0	79	223	0	0	524	0	0	6	1620	0	0	41	0	32	0	0	0	0	63
BM7	5	0	0	12829	69	0	0	132	0	0	44	5	0	0	0	0	0	0	0	454	35	0	69	0	2591	688	0	0	181	0	464	160	0	0	0	1189	0	0	29	0	121	0	0	0	0	24
