OUT_ID	B11	B110	B111	B12	B13	B14	B15	B16	B17	B18	B19	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BR11	BR12	BR13	BR14	BR15	BR16	BR17	BR18	BR21	BR22	BR23	BR24	BR25	BR26	BR27	BR28	BT21	BT22	BT23	BT24	BT25	BT26	BT27	BT31	BT32	BT33	BT34	BT35	BT36	BT37
f__Methanobacteriaceae	0	0	0	0	0	0	0	71	107	9	0	0	0	10	140	0	0	5	0	0	0	7	42	34	0	49	0	99	44	134	166	179	142	208	0	0	48	17	114	87	13	0	71	44	119	61	0	51
k__Bacteria;__;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	63	0	34	68	0	0	2	0	0	0	0	0	0	0	34	0	0	0	0	19	24	0	0	0	0	0
k__Bacteria;p__;c__;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0
f__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Bifidobacteriaceae	24	6267	6136	41	139	164	3217	3570	2072	15019	9573	0	0	0	4620	6459	12255	12829	20	14	0	0	20	0	0	32	0	0	15	24	0	27	20	0	18	0	118	73	74	103	113	0	0	0	111	7550	11979	4295
f__Coriobacteriaceae	0	26	0	73	163	125	180	173	0	85	0	0	237	145	183	214	44	69	12	288	109	252	81	67	0	22	0	215	70	9	28	0	0	20	0	320	278	260	283	226	0	0	779	1087	765	270	182	133
o__Bacteroidales;__	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Bacteroidales;f__	150	0	0	40	37	32	0	15	15	0	0	39	51	56	42	77	31	0	25	0	0	0	0	5	0	0	56	42	15	22	0	10	0	0	61	43	43	47	73	32	27	47	94	85	92	138	120	70
f__Bacteroidaceae	3023	76	0	1584	1259	695	104	227	252	96	55	3128	4440	2769	1605	1352	207	132	4894	2931	2097	2303	1304	537	319	176	3512	2631	1485	1732	503	329	221	287	4268	4541	3332	2969	2534	1054	342	4543	4950	4558	3469	2424	1852	1129
f__Porphyromonadaceae	471	0	0	276	195	140	0	50	16	0	0	508	640	375	54	21	0	0	581	274	826	849	1414	1298	530	592	302	676	616	697	751	451	212	64	519	467	351	560	456	339	120	599	724	731	439	149	103	30
f__Prevotellaceae	233	0	0	160	129	132	177	0	0	0	0	74	18	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	70	0	36	0	14	52	204	172	139	31	0	0	0
f__Rikenellaceae	166	0	0	118	162	79	46	84	106	0	0	1922	622	722	462	493	0	44	2189	429	146	137	0	32	73	0	2063	476	394	286	0	0	0	0	1027	427	439	435	451	170	0	1731	948	913	1048	988	340	188
o__Bacteroidales;f__S24-7	495	0	0	526	599	466	183	243	214	0	0	1046	92	24	92	142	0	5	89	7	0	0	22	19	0	0	565	264	19	0	0	0	15	0	734	155	102	189	239	261	117	285	43	266	305	298	288	139
f__[Barnesiellaceae]	85	0	0	0	32	38	35	64	47	24	0	605	207	310	241	180	23	0	741	176	229	359	227	85	0	41	503	260	272	277	90	57	0	35	296	117	133	90	136	118	0	388	192	237	236	168	175	104
