SampleID	isIncluded	subjectID	measurementID	Biomass
B11	0	F10	0	42.24
B110	0	F10	72	109.35
B111	0	F10	84	77.71
B12	1	F10	10	327.34
B13	1	F10	18	278.82
B14	1	F10	24	281.45
B15	1	F10	34	373.99
B16	1	F10	42	168.02
B17	1	F10	48	114.63
B18	0	F10	58	180.14
B19	0	F10	66	99.26
BM1	0	GM2	0	52.78
BM2	1	GM2	12	141.71
BM3	1	GM2	24	59.35
BM4	1	GM2	36	17.01
BM5	1	GM2	48	9.36
BM6	1	GM2	60	9.21
BM7	1	GM2	72	5.11
BR11	0	GR1	0	22.79
BR12	1	GR1	12	65.45
BR13	1	GR1	24	20.55
BR14	1	GR1	24.5	16.5
BR15	1	GR1	36	15.22
BR16	1	GR1	48	11.83
BR17	0	GR1	60	16.57
BR18	0	GR1	72	9.15
BR21	0	GR2	0	53.29
BR22	1	GR2	12	100.09
BR23	1	GR2	24	44.93
BR24	1	GR2	24.5	10.54
BR25	1	GR2	36	36.75
BR26	1	GR2	48	55.05
BR27	0	GR2	60	28.39
BR28	0	GR2	72	32.58
BT21	0	GT2	0	25.79
BT22	1	GT2	10	67.7
BT23	1	GT2	24	94.76
BT24	1	GT2	34	69.47
BT25	1	GT2	48	12.96
BT26	0	GT2	58	29.98
BT27	0	GT2	72	48.41
BT31	0	NS	0	60.22
BT32	1	NS	12	118.08
BT33	1	NS	24	69.4
BT34	1	NS	36	19.16
BT35	1	NS	48	22.57
BT36	0	NS	60	1.44
BT37	0	NS	72	1.84
